Player,Season,Competition_country,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,Type1,Type,Goal_assist
Lionel Messi,10-Nov,Spain,UEFA Champions League,Group Stage,14-09-2010,H,FC Barcelona,Panathinaikos Athens,WON,CF,22,1,Left-footed shot,Xavi
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,19-09-2010,A,FC Barcelona,Atletico de Madrid,LOST,CF,12,1,Left-footed shot,Pedro
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,21-09-2010,H,Real Madrid,RCD Espanyol Barcelona,WON,LW,28,1,Penalty,
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,03-10-2010,H,Real Madrid,Deportivo de La CoruÃ±a,WON,LW,4,1,Header,Mesut Ozil
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,03-10-2010,H,Real Madrid,Deportivo de La CoruÃ±a,WON,LW,89,1,Left-footed shot,Xabi Alonso
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,03-10-2010,H,FC Barcelona,RCD Mallorca,LOST,CF,20,1,Left-footed shot,Pedro
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,16-10-2010,A,Real Madrid,Malaga CF,LOST,LW,45,1,Right-footed shot,Mesut Ozil
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,16-10-2010,A,Real Madrid,Malaga CF,LOST,LW,50,1,Penalty,
Cristiano Ronaldo,10-Nov,Spain,UEFA Champions League,Group Stage,19-10-2010,H,Real Madrid,AC Milan,WON,LW,13,1,Direct free kick,
Lionel Messi,10-Nov,Spain,UEFA Champions League,Group Stage,20-10-2010,H,FC Barcelona,FC Copenhagen,WON,CF,91,1,Left-footed shot,Ã‰ric Abidal
Lionel Messi,10-Nov,Spain,UEFA Champions League,Group Stage,20-10-2010,H,FC Barcelona,FC Copenhagen,WON,CF,18,1,Left-footed shot,Andres Iniesta
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,23-10-2010,H,Real Madrid,Racing Santander,WON,LW,55,1,Penalty,
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,23-10-2010,H,Real Madrid,Racing Santander,WON,LW,26,1,Left-footed shot,Mesut Ozil
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,23-10-2010,H,Real Madrid,Racing Santander,WON,LW,15,1,Right-footed shot,Gonzalo Higuain
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,23-10-2010,H,Real Madrid,Racing Santander,WON,LW,47,1,Right-footed shot,Angel Di Maria
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,23-10-2010,A,FC Barcelona,Real Zaragoza,LOST,CF,41,1,Left-footed shot,David Villa
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,23-10-2010,A,FC Barcelona,Real Zaragoza,LOST,CF,65,1,Left-footed shot,
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,30-10-2010,A,Real Madrid,Hercules CF,LOST,LW,86,1,Right-footed shot,Karim Benzema
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,30-10-2010,A,Real Madrid,Hercules CF,LOST,LW,82,1,Right-footed shot,Karim Benzema
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,30-10-2010,H,FC Barcelona,Sevilla FC,WON,RW,63,1,Left-footed shot,
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,30-10-2010,H,FC Barcelona,Sevilla FC,WON,RW,4,1,Left-footed shot,
