Player,Season,Competition_country,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,Type1,Type,Goal_assist
Cristiano Ronaldo,10-Nov,Spain,Copa del Rey,Quarter-Finals,20-01-2011,A,Real Madrid,Atletico de Madrid,LOST,CF,22,1,Right-footed shot,Sergio Ramos
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,22-01-2011,H,FC Barcelona,Racing Santander,WON,CF,33,1,Penalty,
Lionel Messi,10-Nov,Spain,Copa del Rey,Semi-Finals,26-01-2011,H,FC Barcelona,UD Almera,WON,CF,15,1,Left-footed shot,Andres Iniesta
Lionel Messi,10-Nov,Spain,Copa del Rey,Semi-Finals,26-01-2011,H,FC Barcelona,UD Almera,WON,CF,9,1,Left-footed shot,Pedro
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,29-01-2011,A,FC Barcelona,Hercules CF,LOST,CF,89,1,Left-footed shot,Dani Alves
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,29-01-2011,A,FC Barcelona,Hercules CF,LOST,CF,87,1,Left-footed shot,Dani Alves
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,05-02-2011,H,FC Barcelona,Atletico de Madrid,WON,CF,28,1,Left-footed shot,Pedro
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,05-02-2011,H,FC Barcelona,Atletico de Madrid,WON,CF,78,1,Left-footed shot,David Villa
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,05-02-2011,H,FC Barcelona,Atletico de Madrid,WON,CF,16,1,Left-footed shot,Dani Alves
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,06-02-2011,H,Real Madrid,Real Sociedad,WON,LW,20,1,Left-footed shot,Kaka
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,06-02-2011,H,Real Madrid,Real Sociedad,WON,LW,42,1,Header,Mesut Ozil
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,20-02-2011,H,FC Barcelona,Athletic Bilbao,WON,CF,78,1,Right-footed shot,Dani Alves
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,26-02-2011,A,FC Barcelona,RCD Mallorca,LOST,CF,38,1,Header,Seydou Keita
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,02-03-2011,A,FC Barcelona,Valencia CF,LOST,CF,77,1,Left-footed shot,Adriano
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,03-03-2011,H,Real Madrid,Malaga CF,WON,LW,67,1,Penalty,
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,03-03-2011,H,Real Madrid,Malaga CF,WON,LW,50,1,Left-footed shot,Mesut Ozil
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,03-03-2011,H,Real Madrid,Malaga CF,WON,LW,76,1,Right-footed shot,Sergio Canales
Lionel Messi,10-Nov,Spain,UEFA Champions League,Group Stage,08-03-2011,H,FC Barcelona,Arsenal FC,WON,RW,49,1,Left-footed shot,Andres Iniesta
Lionel Messi,10-Nov,Spain,UEFA Champions League,Group Stage,08-03-2011,H,FC Barcelona,Arsenal FC,WON,RW,72,1,Penalty,
Cristiano Ronaldo,10-Nov,Spain,UEFA Champions League,Quarter-Finals,05-04-2011,H,Real Madrid,Tottenham Hotspur,WON,LW,87,1,Right-footed shot,Kaka
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,09-04-2011,H,FC Barcelona,UD Almera,WON,CF,91,1,Left-footed shot,Seydou Keita
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,09-04-2011,H,FC Barcelona,UD Almera,WON,CF,52,1,Penalty,
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,09-04-2011,A,Real Madrid,Athletic Bilbao,LOST,CF,70,1,Right-footed shot,Esteban Granero
Lionel Messi,10-Nov,Spain,UEFA Champions League,Quarter-Finals,12-04-2011,A,FC Barcelona,Shakhtar Donetsk,LOST,CF,42,1,Left-footed shot,Dani Alves
Cristiano Ronaldo,10-Nov,Spain,UEFA Champions League,Quarter-Finals,13-04-2011,A,Real Madrid,Tottenham Hotspur,LOST,RW,50,1,Right-footed shot,Sami Khedira
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,16-04-2011,A,FC Barcelona,Real Madrid,LOST,CF,53,1,Penalty,
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,16-04-2011,H,Real Madrid,FC Barcelona,LOST,LW,82,1,Penalty,
Cristiano Ronaldo,10-Nov,Spain,Copa del Rey,Final,20-04-2011,A,Real Madrid,FC Barcelona,LOST,CF,103,1,Header,Angel Di Maria
Lionel Messi,10-Nov,Spain,LaLiga,Group Stage,23-04-2011,H,FC Barcelona,CA Osasuna,WON,CF,87,1,Right-footed shot,Dani Alves
Lionel Messi,10-Nov,Spain,UEFA Champions League,Semi-Finals,27-04-2011,A,FC Barcelona,Real Madrid,LOST,CF,76,1,Left-footed shot,Ibrahim Afellay
Lionel Messi,10-Nov,Spain,UEFA Champions League,Semi-Finals,27-04-2011,A,FC Barcelona,Real Madrid,LOST,CF,87,1,Solo run,Sergio Busquets
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,07-05-2011,A,Real Madrid,Sevilla FC,LOST,LW,30,1,Right-footed shot,Pepe
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,07-05-2011,A,Real Madrid,Sevilla FC,LOST,LW,76,1,Right-footed shot,Karim Benzema
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,07-05-2011,A,Real Madrid,Sevilla FC,LOST,LW,64,1,Right-footed shot,
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,07-05-2011,A,Real Madrid,Sevilla FC,LOST,LW,70,1,Right-footed shot,Mesut Ozil
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,10-05-2011,H,Real Madrid,Getafe CF,WON,LW,23,1,Header,Mesut Ozil
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,10-05-2011,H,Real Madrid,Getafe CF,WON,LW,91,1,Penalty,
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,10-05-2011,H,Real Madrid,Getafe CF,WON,LW,57,1,Left-footed shot,Mesut Ozil
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,15-05-2011,A,Real Madrid,Villarreal CF,LOST,CF,22,1,Direct free kick,
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,15-05-2011,A,Real Madrid,Villarreal CF,LOST,CF,90,1,Direct free kick,
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,21-05-2011,H,Real Madrid,UD Almeria,WON,LW,4,1,Right-footed shot,Sergio Ramos
Cristiano Ronaldo,10-Nov,Spain,LaLiga,Group Stage,21-05-2011,H,Real Madrid,UD Almeria,WON,LW,76,1,Right-footed shot,Sergio Ramos
Lionel Messi,10-Nov,Spain,UEFA Champions League,Final,28-05-2011,H,FC Barcelona,Manchester United,WON,CF,54,1,Left-footed shot,Andres Iniesta
Lionel Messi,11-Dec,Spain,Supercopa,Final,14-08-2011,A,FC Barcelona,Real Madrid,LOST,CF,45,1,Left-footed shot,Thiago
Lionel Messi,11-Dec,Spain,Supercopa,Final,17-08-2011,H,FC Barcelona,Real Madrid,WON,CF,88,1,Left-footed shot,Adriano
Lionel Messi,11-Dec,Spain,Supercopa,Final,17-08-2011,H,FC Barcelona,Real Madrid,WON,CF,44,1,Right-footed shot,Gerard Pique
Cristiano Ronaldo,11-Dec,Spain,Supercopa,Final,17-08-2011,A,Real Madrid,FC Barcelona,WON,LW,20,1,Right-footed shot,Karim Benzema
Lionel Messi,11-Dec,Spain,UEFA Super Cup,Final,26-08-2011,H,FC Barcelona,FC Porto,WON,CF,39,1,Left-footed shot,
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,28-08-2011,A,Real Madrid,Real Zaragoza,LOST,LW,23,1,Left-footed shot,Mesut Ozil
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,28-08-2011,A,Real Madrid,Real Zaragoza,LOST,LW,70,1,Right-footed shot,Angel Di Maria
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,28-08-2011,A,Real Madrid,Real Zaragoza,LOST,LW,86,1,Right-footed shot,Kaka
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,29-08-2011,H,FC Barcelona,Villarreal CF,WON,CF,74,1,Left-footed shot,Thiago
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,29-08-2011,H,FC Barcelona,Villarreal CF,WON,CF,51,1,Right-footed shot,Andres Iniesta
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,10-09-2011,H,Real Madrid,Getafe CF,WON,LW,59,1,Penalty,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,17-09-2011,H,FC Barcelona,CA Osasuna,WON,CF,79,1,Left-footed shot,Cesc Fabregas
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,17-09-2011,H,FC Barcelona,CA Osasuna,WON,CF,5,1,Left-footed shot,Dani Alves
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,17-09-2011,H,FC Barcelona,CA Osasuna,WON,CF,41,1,Left-footed shot,Cesc Fabregas
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,24-09-2011,H,FC Barcelona,Atletico de Madrid,WON,CF,26,1,Left-footed shot,Pedro
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,24-09-2011,H,Real Madrid,Rayo Vallecano,WON,LW,51,1,Penalty,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,24-09-2011,H,FC Barcelona,Atletico de Madrid,WON,CF,78,1,Left-footed shot,Dani Alves
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,24-09-2011,H,FC Barcelona,Atletico de Madrid,WON,CF,91,1,Left-footed shot,David Villa
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,24-09-2011,H,Real Madrid,Rayo Vallecano,WON,LW,39,1,Left-footed shot,Kaka
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,24-09-2011,H,Real Madrid,Rayo Vallecano,WON,LW,84,1,Penalty,
Cristiano Ronaldo,11-Dec,Spain,UEFA Champions League,Group Stage,27-09-2011,H,Real Madrid,Ajax Amsterdam,WON,LW,25,1,Right-footed shot,Karim Benzema
Lionel Messi,11-Dec,Spain,UEFA Champions League,Group Stage,28-09-2011,A,FC Barcelona,BATE Borisov,LOST,CF,56,1,Left-footed shot,Dani Alves
Lionel Messi,11-Dec,Spain,UEFA Champions League,Group Stage,28-09-2011,A,FC Barcelona,BATE Borisov,LOST,CF,38,1,Header,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,15-10-2011,H,FC Barcelona,Racing Santander,WON,CF,69,1,Right-footed shot,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,15-10-2011,H,FC Barcelona,Racing Santander,WON,CF,11,1,Right-footed shot,Andres Iniesta
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,22-10-2011,A,Real Madrid,Malaga CF,LOST,LW,28,1,Right-footed shot,Xabi Alonso
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,22-10-2011,A,Real Madrid,Malaga CF,LOST,LW,24,1,Left-footed shot,Angel Di Maria
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,22-10-2011,A,Real Madrid,Malaga CF,LOST,LW,38,1,Right-footed shot,Sergio Ramos
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,29-10-2011,H,FC Barcelona,RCD Mallorca,WON,CF,30,1,Left-footed shot,Dani Alves
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,29-10-2011,H,FC Barcelona,RCD Mallorca,WON,CF,13,1,Penalty,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,29-10-2011,H,FC Barcelona,RCD Mallorca,WON,CF,21,1,Right-footed shot,Adriano
Lionel Messi,11-Dec,Spain,UEFA Champions League,Group Stage,01-11-2011,A,FC Barcelona,FC Viktoria Plzen,LOST,CF,92,1,Left-footed shot,Gerard Pique
Lionel Messi,11-Dec,Spain,UEFA Champions League,Group Stage,01-11-2011,A,FC Barcelona,FC Viktoria Plzen,LOST,CF,47,1,Left-footed shot,Adriano
Lionel Messi,11-Dec,Spain,UEFA Champions League,Group Stage,01-11-2011,A,FC Barcelona,FC Viktoria Plzen,LOST,CF,24,1,Penalty,
Cristiano Ronaldo,11-Dec,Spain,UEFA Champions League,Group Stage,02-11-2011,A,Real Madrid,Olympique Lyon,LOST,LW,69,1,Penalty,
Cristiano Ronaldo,11-Dec,Spain,UEFA Champions League,Group Stage,02-11-2011,A,Real Madrid,Olympique Lyon,LOST,LW,25,1,Direct free kick,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,06-11-2011,A,FC Barcelona,Athletic Bilbao,LOST,CF,90,1,Left-footed shot,
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,06-11-2011,H,Real Madrid,CA Osasuna,WON,LW,23,1,Header,Angel Di Maria
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,06-11-2011,H,Real Madrid,CA Osasuna,WON,LW,55,1,Penalty,
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,06-11-2011,H,Real Madrid,CA Osasuna,WON,LW,58,1,Header,alvaro Arbeloa
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,19-11-2011,A,Real Madrid,Valencia CF,LOST,LW,79,1,Right-footed shot,Pepe
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,19-11-2011,H,FC Barcelona,Real Zaragoza,WON,CF,43,1,Right-footed shot,Cesc Fabregas
Lionel Messi,11-Dec,Spain,UEFA Champions League,Group Stage,23-11-2011,A,FC Barcelona,AC Milan,LOST,SS,31,1,Penalty,
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,26-11-2011,H,Real Madrid,Atletico de Madrid,WON,LW,82,1,Penalty,
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,26-11-2011,H,Real Madrid,Atletico de Madrid,WON,LW,24,1,Penalty,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,29-11-2011,H,FC Barcelona,Rayo Vallecano,WON,CF,49,1,Left-footed shot,Dani Alves
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,03-12-2011,A,Real Madrid,Sporting GijÃ³n,LOST,LW,65,1,Right-footed shot,Angel Di Maria
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,03-12-2011,H,FC Barcelona,Levante UD,WON,CF,55,1,Left-footed shot,Dani Alves
Cristiano Ronaldo,11-Dec,Spain,Copa del Rey,Group Stage,13-12-2011,A,Real Madrid,SD Ponferradina,LOST,LW,74,1,Left-footed shot,Gonzalo Higuain
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,17-12-2011,A,Real Madrid,Sevilla FC,LOST,LW,10,1,Right-footed shot,Angel Di Maria
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,17-12-2011,A,Real Madrid,Sevilla FC,LOST,LW,41,1,Right-footed shot,Karim Benzema
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,17-12-2011,A,Real Madrid,Sevilla FC,LOST,LW,86,1,Penalty,
Lionel Messi,11-Dec,Italy,FIFA Club World Cup,Final,18-12-2011,A,FC Barcelona,Santos FC,LOST,RW,82,1,Left-footed shot,Dani Alves
Lionel Messi,11-Dec,Italy,FIFA Club World Cup,Final,18-12-2011,A,FC Barcelona,Santos FC,LOST,RW,17,1,Left-footed shot,Xavi
Lionel Messi,11-Dec,Spain,Copa del Rey,Group Stage,04-01-2012,H,FC Barcelona,CA Osasuna,WON,CF,90,1,Left-footed shot,Xavi
Lionel Messi,11-Dec,Spain,Copa del Rey,Group Stage,04-01-2012,H,FC Barcelona,CA Osasuna,WON,CF,71,1,Header,Cesc Fabregas
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,07-01-2012,H,Real Madrid,Granada CF,WON,LW,89,1,Right-footed shot,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,15-01-2012,H,FC Barcelona,Real Betis Balompie,WON,CF,12,1,Right-footed shot,Alexis Sanchez
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,15-01-2012,H,FC Barcelona,Real Betis Balompie,WON,CF,86,1,Penalty,
Cristiano Ronaldo,11-Dec,Spain,Copa del Rey,Quarter-Finals,18-01-2012,H,Real Madrid,FC Barcelona,LOST,LW,11,1,Left-footed shot,Karim Benzema
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,22-01-2012,H,Real Madrid,Athletic Bilbao,WON,LW,67,1,Penalty,
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,22-01-2012,H,Real Madrid,Athletic Bilbao,WON,LW,46,1,Penalty,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,22-01-2012,A,FC Barcelona,Malaga CF,LOST,CF,77,1,Left-footed shot,Pedro
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,22-01-2012,A,FC Barcelona,Malaga CF,LOST,CF,51,1,Left-footed shot,Thiago
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,22-01-2012,A,FC Barcelona,Malaga CF,LOST,CF,32,1,Header,Adriano
Cristiano Ronaldo,11-Dec,Spain,Copa del Rey,Quarter-Finals,25-01-2012,A,Real Madrid,FC Barcelona,LOST,LW,68,1,Right-footed shot,Mesut Ozil
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,28-01-2012,H,Real Madrid,Real Zaragoza,WON,LW,48,1,Right-footed shot,Mesut Ozil
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,04-02-2012,H,FC Barcelona,Real Sociedad,WON,CF,72,1,Left-footed shot,Dani Alves
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,12-02-2012,H,Real Madrid,Levante UD,WON,LW,45,1,Penalty,
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,12-02-2012,H,Real Madrid,Levante UD,WON,LW,50,1,Header,Gonzalo Higuain
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,12-02-2012,H,Real Madrid,Levante UD,WON,LW,57,1,Right-footed shot,Fabio CoentrÃ£o
Lionel Messi,11-Dec,Spain,UEFA Champions League,Group Stage,14-02-2012,A,FC Barcelona,Bayer 04 Leverkusen,LOST,CF,88,1,Left-footed shot,Dani Alves
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,18-02-2012,H,Real Madrid,Racing Santander,WON,LW,6,1,Header,Kaka
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,19-02-2012,H,FC Barcelona,Valencia CF,WON,CF,21,1,Left-footed shot,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,19-02-2012,H,FC Barcelona,Valencia CF,WON,CF,27,1,Tap-in,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,19-02-2012,H,FC Barcelona,Valencia CF,WON,CF,75,1,Left-footed shot,Cristian Tello
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,19-02-2012,H,FC Barcelona,Valencia CF,WON,CF,84,1,Left-footed shot,Sergio Busquets
Cristiano Ronaldo,11-Dec,Spain,UEFA Champions League,Group Stage,21-02-2012,A,Real Madrid,CSKA Moscow,LOST,LW,28,1,Left-footed shot,Fabio CoentrÃ£o
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,26-02-2012,A,FC Barcelona,Atletico de Madrid,LOST,CF,79,1,Direct free kick,
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,26-02-2012,A,Real Madrid,Rayo Vallecano,LOST,LW,53,1,Right-footed shot,
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,04-03-2012,H,Real Madrid,RCD Espanyol Barcelona,WON,LW,23,1,Left-footed shot,Gonzalo Higuain
Lionel Messi,11-Dec,Spain,UEFA Champions League,Group Stage,07-03-2012,H,FC Barcelona,Bayer 04 Leverkusen,WON,CF,85,1,Left-footed shot,Seydou Keita
Lionel Messi,11-Dec,Spain,UEFA Champions League,Group Stage,07-03-2012,H,FC Barcelona,Bayer 04 Leverkusen,WON,CF,58,1,Left-footed shot,
Lionel Messi,11-Dec,Spain,UEFA Champions League,Group Stage,07-03-2012,H,FC Barcelona,Bayer 04 Leverkusen,WON,CF,50,1,Right-footed shot,Cesc Fabregas
Lionel Messi,11-Dec,Spain,UEFA Champions League,Group Stage,07-03-2012,H,FC Barcelona,Bayer 04 Leverkusen,WON,CF,42,1,Left-footed shot,Andres Iniesta
Lionel Messi,11-Dec,Spain,UEFA Champions League,Group Stage,07-03-2012,H,FC Barcelona,Bayer 04 Leverkusen,WON,CF,25,1,Left-footed shot,Xavi
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,10-03-2012,A,Real Madrid,Real Betis Balompie,LOST,LW,52,1,Left-footed shot,Marcelo
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,10-03-2012,A,Real Madrid,Real Betis Balompie,LOST,LW,73,1,Left-footed shot,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,11-03-2012,A,FC Barcelona,Racing Santander,LOST,CF,28,1,Left-footed shot,Cesc Fabregas
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,11-03-2012,A,FC Barcelona,Racing Santander,LOST,CF,55,1,Penalty,
Cristiano Ronaldo,11-Dec,Spain,UEFA Champions League,Group Stage,14-03-2012,H,Real Madrid,CSKA Moscow,WON,LW,94,1,Right-footed shot,Karim Benzema
Cristiano Ronaldo,11-Dec,Spain,UEFA Champions League,Group Stage,14-03-2012,H,Real Madrid,CSKA Moscow,WON,LW,55,1,Right-footed shot,Sergio Ramos
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,17-03-2012,A,FC Barcelona,Sevilla FC,LOST,CF,25,1,Left-footed shot,Andres Iniesta
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,20-03-2012,H,FC Barcelona,Granada CF,WON,CF,85,1,Left-footed shot,Dani Alves
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,20-03-2012,H,FC Barcelona,Granada CF,WON,CF,66,1,Left-footed shot,Dani Alves
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,20-03-2012,H,FC Barcelona,Granada CF,WON,CF,16,1,Left-footed shot,Isaac Cuenca
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,21-03-2012,A,Real Madrid,Villarreal CF,LOST,LW,61,1,Right-footed shot,Mesut Ozil
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,24-03-2012,H,Real Madrid,Real Sociedad,WON,LW,32,1,Right-footed shot,Kaka
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,24-03-2012,H,Real Madrid,Real Sociedad,WON,LW,55,1,Right-footed shot,Gonzalo Higuain
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,24-03-2012,A,FC Barcelona,RCD Mallorca,LOST,CF,25,1,Direct free kick,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,31-03-2012,H,FC Barcelona,Athletic Bilbao,WON,CF,57,1,Penalty,
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,31-03-2012,A,Real Madrid,CA Osasuna,LOST,LW,37,1,Long distance kick,Xabi Alonso
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,31-03-2012,A,Real Madrid,CA Osasuna,LOST,LW,70,1,Direct free kick,
Lionel Messi,11-Dec,Spain,UEFA Champions League,Quarter-Finals,03-04-2012,H,FC Barcelona,AC Milan,WON,RW,42,1,Penalty,
Lionel Messi,11-Dec,Spain,UEFA Champions League,Quarter-Finals,03-04-2012,H,FC Barcelona,AC Milan,WON,RW,11,1,Penalty,
Cristiano Ronaldo,11-Dec,Spain,UEFA Champions League,Quarter-Finals,04-04-2012,H,Real Madrid,APOEL Nicosia,WON,LW,26,1,Right-footed shot,Marcelo
Cristiano Ronaldo,11-Dec,Spain,UEFA Champions League,Quarter-Finals,04-04-2012,H,Real Madrid,APOEL Nicosia,WON,LW,75,1,Direct free kick,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,07-04-2012,A,FC Barcelona,Real Zaragoza,LOST,CF,86,1,Penalty,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,07-04-2012,A,FC Barcelona,Real Zaragoza,LOST,CF,39,1,Left-footed shot,Alexis Sanchez
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,10-04-2012,H,FC Barcelona,Getafe CF,WON,CF,44,1,Left-footed shot,Andres Iniesta
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,11-04-2012,A,Real Madrid,Atletico de Madrid,LOST,LW,67,1,Long distance kick,
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,11-04-2012,A,Real Madrid,Atletico de Madrid,LOST,LW,24,1,Direct free kick,
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,11-04-2012,A,Real Madrid,Atletico de Madrid,LOST,LW,82,1,Penalty,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,14-04-2012,A,FC Barcelona,Levante UD,LOST,CF,73,1,Penalty,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,14-04-2012,A,FC Barcelona,Levante UD,LOST,CF,64,1,Left-footed shot,Alexis Sanchez
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,14-04-2012,H,Real Madrid,Sporting GijÃ³n,WON,LW,74,1,Header,Angel Di Maria
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,21-04-2012,A,Real Madrid,FC Barcelona,LOST,LW,73,1,Right-footed shot,Mesut Ozil
Cristiano Ronaldo,11-Dec,Spain,UEFA Champions League,Semi-Finals,25-04-2012,H,Real Madrid,Bayern Munich,LOST,LW,6,1,Penalty,
Cristiano Ronaldo,11-Dec,Spain,UEFA Champions League,Semi-Finals,25-04-2012,H,Real Madrid,Bayern Munich,LOST,LW,14,1,Right-footed shot,Mesut Ozil
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,29-04-2012,A,FC Barcelona,Rayo Vallecano,LOST,CF,16,1,Left-footed shot,Pedro
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,29-04-2012,A,FC Barcelona,Rayo Vallecano,LOST,CF,88,1,Left-footed shot,Pedro
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,29-04-2012,H,Real Madrid,Sevilla FC,WON,LW,19,1,Right-footed shot,Karim Benzema
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,02-05-2012,A,Real Madrid,Athletic Bilbao,LOST,LW,49,1,Header,Xabi Alonso
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,02-05-2012,H,FC Barcelona,Malaga CF,WON,CF,34,1,Penalty,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,02-05-2012,H,FC Barcelona,Malaga CF,WON,CF,60,1,Penalty,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,02-05-2012,H,FC Barcelona,Malaga CF,WON,CF,63,1,Left-footed shot,Andres Iniesta
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,05-05-2012,H,FC Barcelona,RCD Espanyol Barcelona,WON,CF,11,1,Direct free kick,
Cristiano Ronaldo,11-Dec,Spain,LaLiga,Group Stage,05-05-2012,A,Real Madrid,Granada CF,LOST,LW,81,1,Penalty,
Lionel Messi,11-Dec,Spain,LaLiga,Group Stage,05-05-2012,H,FC Barcelona,RCD Espanyol Barcelona,WON,CF,78,1,Penalty,
